indonesia,andap,aso,asi
pakai,anggo,angge,angge
pakaian,penganggo,pengangge,pengangge
paksa,maksa_keju_ngrejeg,maksa,piserang
paku,pacek_paku,pacek,pacek
palsu_takbenar,palsu_singbenehapus,tansujati,dudu_iwangsalit
palu,palu_panggul,palu,palu
paman,ua_maman,NULL,NULL
panas,anget_kebus,panes,panes
panas_hangat,kebus_anget,anget,panes
pandai,duweg_ririh,wikan_widaksa,pradnyan_wicaksana
pandang,teletekang,ngawaspada,ngaspada
pandang_lihat,tingalin_iwasin,tingalin,cingakin
panen,manyi,ngampung,ngampung
panggil,jeritin_kaukin,aturin,madikain
panjang,lantang_dawa,panjang,panjang
pantai,pesisi_sisi,pesisi,pesisir
parit_kali_terusan,jelinjing_jelinjingan,telabah,NULL
paruparu,paparu,paparu,paparu
pasang,enyitin,enyitin,enyitin
pasang_sepasang,pasang_akitang,akitang,perangkat
pasar,peken,pasar,pasar
pasir,bias,bias,bias
pasti,pedas_karuan_seken_pasti,janten,mejanten
patung,togog_bedogol,arca,arca
payung,pajeng,tedung,tedung
pecahkan,belahang_elungang,mecah_usakpecahang,rusakang
pekik,gelur,gelur,gelur
pelabuhan,pelabuhan,labuhan_pabean,pabean
pelajaran,papelajahan,papelajahan,papelajahan
pelihara,piara_ubuh_pretain,emban_abih_tatingin,aksinin
pelukis,tukangnggambarsangging,tukanggambar,tukanggambar
pematang,pundukan,paundukan,paundukan
pembakaran,pengabenan,pelepon,melebu
pemberian,pabaang,pawehweh_aturan,paica
peminta minta_pengemis,idih idih,gegendong,NULL
pemuda,teruna,anom,anom_jajaka
pemudi,teruni,anom,anom
pena_bolpoin,pen,pen,pen_penulisan
pencuri,maling_pemaling,dusta,dusta
pendek,bontok_bawakringkes,cendek,cendek
pengarang,pengawi,pengawi,pengawi
pengemudi_sopir,supir,supir,supir
pengganti,silurgethi,panyilurgentos,pagentosgentos
peniti,peniti_engsel,peniti_engsel,peniti
penjara,bui_pangkeng,pangkeng,pangkeng
penjara,bui_pangkeng,bui,bui_buwi
penting,buat_mabuat,perlu,mabuat
penuh,bek,ebek,ebeksupenuh
penyakit,pengering_sakit,pangering,pinakit
perak,selaka,selaka,selaka
perang,siat,yuda_perang,perang_yuda
perangko,perangko,perangko,perangko
perasaan,rasa,rasa,rasa
perbaiki,pasuhangbenehin,benehin,becikang
percakapan,paomongan_perembugan,raraosanwicara,babaosanwicara
percaya,ngugoninsengguh,ngega,ngeganin
perempuan_wanita_cewek,anakluh_eluh,anakistri,anakistri
pergelangan,pagelangan,NULL,NULL
pergi,luas,lunga,lunga
pergi_berangkat,makaad_magedi,lunga,langakesah
pergiketimur,nganginang,nganginang,ngetan
perigi_sumur,semer,NULL,NULL
perintah,pituduh_titah,pangandika,pituduh
perintahkan,perintahang,titahang,titahang
periuk,payuk,NULL,NULL
perkara_persoalan,perkara_kanda,wikara,wikara
perkawinan,pengantenan,pangantenan,pabuncingan
perlahanlahan,adengadeng,alonalon,alonalon
perlu,mabuat_perlu,perlu,perlu
perlu,perlu,mabuat,mabuat
permainan,plalian_canda_candaan,mainan_pacandaan,pacandaan
permintaan,pengidihan,pinunasan,pinunas_pangelungsur
permisi,kalahin,pamitin_mapamit,ngelungsurmapamit
permulaan,pejumu_kemulan,pengawit,panembe_awit
pernah,taen,naenin,naenin
persatukan,besikang_tunggalang,sikiang,tunggilang
persediaan_bekal,sasepelan_persediaan_bekel,bekel,sangu
persegi,merepat,merepat,merepat
persembahan_sajen,aturan_banten_segehan,aturan,aturansagi
persembahkan,aturang,aturang,aturang
persetujuan,semaya,sengketa,sengketa
pertamakali,tumben,nembe,nembe
pertimbangan,petimbanganpatinang,tatimbangan,wicara
pertolongan_bantuan,pitulungan,pitulungan,pitulungan
perut,basang,waduk,weteng
pesiar,melali,melancaran,melancaran
peti_kotak_boks_dus,petigrobag,kotak,peti
petik,alap,alap,alap
petik,alap_metik,alap,alap
pikiran,keneh,manah,pekayunan
pikiran_pendapat,keneh,manah,kayun
pikul,tegen_negen,pikul_nikul,sandang
pikulan,sanan,sanan,sanan
pindah_bergerak,makisid,gingsir,magingsir
pinjam,silih_nyilih,nyelang,selang
pinjamkan,silihang,selanggang,paselangan
pintar,duweg_ririh,ririh_wikan,pradnyan
pintu,jelanan_kuri,pemedal,lawangan
piring,piring,pinggan,pinggan
piringmangkok,piring,piring,pingga
pisang,biyu,pisang,pisang
pisau,tiuk_tiyuk,tiuk,lemat
pokok,unduk_tepengan,indik,pariindik
potonggigi,mesangih_metatah,mapandes,mapandes
pucat,coong_kembang,kembang,acum
puji_utamakan,puji,sumbung,utamayang
pulang,mulih,budal,mantuk
pulang,mulih,budal,mantuk
pulau,pulo_nusa,nusa_pulu,pulo
punya_memiliki,ngelah,derbe_maderbe,drue_madruwe
pusat,pungsed,puser,udel
pusing_mabuk,lengah_pengeng,kelenger,kalenger
putar,piteh_linder,piteh,piteh
putih,putih,petak,petak
raba_menyentuh,ususd_ngabag,usud,usud
racun,cetik,cetik,cetik
rahang,cadikjagut,cadik,lalentek
rahasia,nyilib_sasiliban,singid,sasiliban_singid
rajin,jemet,anteng,anteng
rajin,jemet,anteng_urati,anteng
rajin,jemet,anteng,anteng
rambut,bok,rambut,rambut
rampok_rampas,begal_rampok_rampas_jarah,rampok,rampok
rantai,ante,ante,ante
rapat_berapat,sangkep,mapaum_paum,mapaum
rata_datar,asah_dangsah_lempeh_pedel,rata,rata
rebus_merebus,lablabmnglablab,engseblablab,engseblablab
rendah,endep_eed,andap,andap
rendahhati,naros_andapasor,andapasor,naros
rezeki,pangupajiwa,pangupajiwa,pangupajiwa
ribut_gaduh,uyut,uyut,gumuruh
ringan,ingan_angan,dangan,dangan
rintangan_alangan,tawengtaweng_alang,alang,alang_pialangan
roda,roda,roda,roda
roti,roti,ruti,ruti
rugi_kerugian,pocol_papocolan,pocol,rugi
rumah,umah_bale,jeroan_puri,geria_puri
rumah tangga,pakurenan,panyaman_pasemetonan,keluarga
rumput,lalang_padang,lalang_padang,ambengan_suket
rupa,goba_rupajeneng,rupa_jeneng,warnarupa
rupa_bentuk,goba,rupa,warna
rupanya,mirip_jenenga,minab_menawi,menawi
rupanya_nampaknya_ruparupanya,jenenga_mirib,minab,menawi
rusak_puing,usak_uwung,rusak,rusak
sabun,sabun,NULL,NULL
saja,dogen_tuah_tuwah,kewanten,wantah
sakit,gelem_sakit,sungkan,gerah_sungkan
sakit kepala_pusing,pengeng_puruh_poyok,nyakitang duur,nyakitang prabu
sakit_pedih_perih,sakit_ngangah,perih,perih
sakitperut,sakitbasang,sungkanwaduk,sungkanwaduk
saksi,saksi,saksi,saksi
saksikan_menyaksikan,nyaksiang,NULL,NULL
salah,pelih,iwang,iwang
samadengan,patuhteken,patehring,patehring
sambung ayam_adu ayam,tetajen,kelecen,kelecen
sampai_tiba,teked_kanti,rauh_jantos,tiba
sanak saudara,nyamabraya,pasemetonan,NULL
sangka,kaden,sengguh,sengguh
sangka_kira_terka,kaden_tebak,minabang tiang,tarka
saos_kuah,kuah,NULL,NULL
sapi,sampi,banteng,banteng
sapi jantan,sampi muani,banteng lanang_jagir,jagir
sapu,sampat,sampat,sampat
sapu_menyapu,nyampatin,nyapuin,NULL
sarang,sebun,sebun,sebun
saringan,saringin,saringin,saringin
satu,besik,siki_adiri,asiki_adiri
saudagar_pedagang_penjual,dagang,pangadol,pangadol
saudara saudari,nyama,sameton,sameton
sawah,uma_carik,carik,NULL
saya_aku,tiang,tiang,titiang
sayap,kampid,kampid,sayap
sayursayuran,jukutjukutan_lakarjukut,janganjanganan,janganjanganan
sebab,krana_awinan,awinan,makawinan
sebab_alasan,awanan_keranane,lantaran,awinan
sebab_karena,sawireh_kerana,seantukan,riantukan_duaning
sebelum,satonden,sedurung,sadereng
sebentar,endenmalu,mangkindumun,mangkindumun_jantosajebos
sebentar_sesaat_sewaktu,akejep_ajahan,ajebos,ajebos_abosbos
sebut,sambatang,ucapang_kandikayang,dartayang
sedang,nuju_sedekan,rikalanaing,rikalaning
sedap,jaen,jaen,becik
sediakan,sediang,tragiaang,NULL
sedih,sedih_duhkita,sungsut,sungsutkayun
sedikit,abedik_agigis_abedik_abidik,akidik,akidik_kidik
seekor,ukudanimals,aukud,aukud
seekor,aukud,asiki,asiki
segenggam,agemel_akepel,akepel,akepel
seharihari_tiaphari,ngawai_sadina_dina,serahina_rahina,nyaberan_rahina
sehat,seger,seger,kenak
sehat,seger,rahayu,kenak
sehingga,kanti,jantos,jantos
sehingga,nganti_ngantos,jantos,jantos
sejak,sesukat_duk_uli,daweg_rikala,sakingdaweg_rikala
sejuk,tis,dayuh,dayuh
sejuk,tis_dayuh,dayuh,teduh
sekali,acepok,apisan,apisan
sekali,pidan_gati,pisan,pisan
sekalian_semuanya,makejang,samipada,sinarengan
sekalilagi,buinacepok,malihapisan,malihapisan
sekarang,jani_nejani,mangkin_jani,pramangkin
sekolah,sekolahan,NULL,NULL
selalu,setata_tetep,tansah_setuuk_sekayang,tansah_tanmari
selamat_sehatwalafiat,rahayu_bagia,rahayu,sadiya
selamatkan,rahayuang,rahajengan,NULL
selatan,kelod,kelod,elor
selatan,kelod,kelod,kidul
selesai_akhir_penghabisan,pragat,puput,puput
selesai_habis,pragatsuud,telas_puput,puput_telas
selesaikan_menyelesaikan,peragatang,puputang,puputang
selesma_pilek_influenza,paad_mapahad,paad,paad
selimut,saput,kampuh,kampuh
sembahyang_berdoa,maturan,maturan,maturan
sembuhkembali_sehat,seger,seger_rahayu,kenak
sembunyi,mengkeb,singid,nyangklib
sembunyikan,ngilidang,ngilidang,ngilidang
sempit,cupit_cupek,rupet,cupek
semua,onyangan_makejangpada,samian_makasami_sekancan,sami
semut,semut,semut,semut
senang,kendel_girang,ledangsuka,renakenak_gargita
senang,demen,seneng,ledang
senapan_bedil,bedil,bedil,bedil
sendiri,padidi,ngeraga,newek
sendirian,pedidian_newek,ngeraga,pereragan
sendok,sendok_sinduk_conteng,sekot,sinduk_cekot
sengaja,nyelapang,nyelapang,nyelapang
sengsara,sengsara,sengsara,sengsara
senjata,senjata,senjata,senjata
seorang,diri,adiri/miri,adiri
sepanjang hari,selid sanja,sepanjang rahina,NULL
sepatu,sepatu,sepatu,paduka
sepeda,sepeda kayuh,NULL,NULL
seperempat,pahpat_apah empatan,epah empatan,epah empatan
seperti,buka,makadi_luire_sekadi,minakadi_kadisekadi
sepi,sepi,samun,sunia
sepupu,misan,misan,mingsiki
serat_kaku,seket_seret,seret,seret
sering,pepes_saisai_sesai,sering,sering_sabensaben
serupa,mirib buka_patuh teken,pateh kadi,pateh kadi
sesal,nyesel_kapok,nyesel,nyesel
seseorang,salah tunggal,sinalih tunggil,sinalih tunggil
sesuatu,apan apan,punapa punapi,NULL
setengah_separoh,atengah_kenjang_paro,asibak,apahkalih
setiap_tiap tiap,sebilang,senangken,senangken
setia_patuh,tindih_bela,satia_astiti,setia
setiap malam,sepeteng peteng,sawengi wengi,sawengi wengi
setuju,lega,ngewehin,ngicenin
sewa,sewaang,sewang,sewang
sewakan,sewaang,sewaang,sewaang
sia_sia,percuma_tanpa guna_kado,tanpa guna,nirdon
sianghari,lemah,NULL,NULL
siap_sedia,sedia_tragia,tragia,tragia
siapa,nyen,sapasira,sapasira
sibuk,epot_ewo_rewed,repot_repet,repot
silahkan duduk,lautang negak,rarisang malinggih,raris malinggih
simpan_pegang_menyimpan,simpen_sepelang_sepel_nyeplang,simpen,simpen
sisi_tepi_sebelah,sisi_sisih,samping,samping
sisik,sisik_siksik,NULL,NULL
sisir,suah_suwah,sisir,suri
sobek_mengoyak,uek_menguek,nguek,nguek
sombong_bangga,gedekeneh,angkuh_sombong,bangga
sop,sop_kuwah,kuah,kuah
sore,sanja,sande,sande
suami,kurenan_somahmuani_kurnan,rabi,swami
suara_bunyi,munyi,pangandika,suara
subur,mokoh,lemek,lemek
suci_kudus,suci_astiti_putusresi,resik,nirmala
sudah,sube_suba,sampun,wusan
sudi,nyak_suka,ledang_kayun,kayun
suka_senang,demen,ledang_suka,ledang_lila
sukar,ketil_bat,sukeh_abot,sungka_sengka_abot
sungai,tukad,tukad,tukad
sungguh,saja,wiakti_yakti_pituwi,sayuwakti_pituwi
sungguh,sajaan_yakti,sukati_tuhu,wiakti
sungguhsungguh,seleg_giet,itep,itep
suntik,suntik_nyuntik,suntik,suntik
suntikan,suntikan_panyuntikan,suntikan,suntikan
surat,surat,surat,surat_rerepi
suratkhabar_suratkabar_koran,koran,koran,koran
suruh_perintahkan,tunden_konkon,nikain,tuduhin
suruh_perintahkan,konkon,kenken,kandikain
susah_kesedihan,keweh,duhkita,sungsut
susah_kesukaran,inguh_ibuk,sebet,kewuh
susu,yehnyonyo,toyansusu,toyannuroja
susu_payudara,nyonyo,susu,susu
susunan,susunan_tata cara,pidabdab,NULL
sutra,sutra,sutera,sutera
syair,kidung,tembang,tembang
tahu,tau_nawang,uning_wikan,uning_uningapawikan_weruh
tahun,tiban,tahun,tiban_warsa
tajam,mangan,landep,landep
tak peduli_sembrono_ceroboh,lengah_ngelewa_ampahpapeka,lamena,tanlunga
takpernah,singtaen,tannaenin,tannahenin
taksir_menaksir,taksir_taken,tebak,tarka
taksiran_tebakan,watara,NULL,NULL
taktahan,singkodagbaan,tanmaresidayang,tandugiantuk
takterhitung_banyak_berlimpah_ruah,liupesan,akehpisan,makweh_katahpisan
takut,jejeh_takut_tangkejut,ajerih,ajerih_tanwenten_purun
takut,jejeh,ajerih,ajerih
tambah,imbuhin,wewehin,weweh
tambahan,pangimbuha,pimbuh,paimbuh
tamu_pengunjung,tamilu,datengan,tamiu
tanam,pula_tanem,tandur,tandur_nandur
tanda,ciri,cihna_tanda,cihna
tandamata,gapgapan_temontemon,temontemon_pangeling,pekelingan
tangan,lima,tangan_lima,tangan
tangga_anaktangga,jan_ejan,ejanpalitan,ejan_palitan
tanggal,tanggalpanglong,tanggal,tanggal
tangkap,ejuk,ejuk,ejuk
tanpa_dengantidak,tanpa_sing nganggo,NULL,NULL
tanya,metakon_takon,mentaken_taken,takenring
tarian,igeligelan,igel_igelan,ilenilen
tarik_menarik,paid_atek,kedeng,nudut
taruh_letakkan,kejang,genahang,linggihang
taruh_meletakkan,kejang_ngejang,linggihang,genahang
taufan_anginribut,anginselaung_anginbaret,anginderas,angindras
tebal,tebel,tebel,tebel
tebu,tebu,tebu,isepan
telanjang,melalung,melalung_ngaligas,uda_matelanjang
telinga,kuping,karna_kuping,karna
telur,taluh,endogantiga,endog
tembok,tembok,tembok,tembok
tempat,wadah,genah,genah
tempat,tongos,linggih,genah
tempatair_gentong,gentong,NULL,NULL
tempatduduk_kursi,tongosnegak_panegakan,genahlinggih,pelinggihan_linggih
tempattidur,pedeman_pamulesan,pesarean,pemereman
temukan_menemukan,dapetang_tepuk_bakat_kacunduk,panggihin_keniang_kacunduk,temu_panggih_kacunduk
tentang,unduk_yanbuat,indik,parindik_mungguing
tentang,unduk_yan_buatkapo,indik,parindik
tenun,tunun_nunun,tunun,tunun
tepat_persis,persis_ngatuju,katuju,tepet
terang,terang_galang_jelas,sinah_seken,sinah
terbaik_palingbaik,palingmelah,pinihbecik,pinihbecik
terbang,makeber_kebet,mabur,mabur
teriak,jerit,jerit,jerit
teriak_menjerit,kaukkauh_jeritjerit_nyeritin,jeritjerit_nikain,jeritjerit_nikain
terimakasih,matursuksma,matursuksme,matursuksme
terkejut,tangkejut,tangkejut,kagiat
terlalu,bes_gati,banget,kalintang
tersenyum,kenyir,kenyir,kening_kenyir
tertawanguyu,kedek,ica,ica
terutama,pinihbuata,kapertama,luwih_luwih
tetapi_melainkan,nanging_sakewanten,kewanten,sakewanten
tiba,teka_teked,napak_dateng,rauh_rawuh
tiba_tiba,jeg_ujug_ujug,premangkin_tandumade,kancit
tibanya_kedatangan,tekane,napak_dateng,rauhe
tidak,tusing_tuara,tan,nenten_tanwenten
tidur,pules,sirep,makolem
tikar,tikeh,tikeh,pelasa
tikus,bikul,bikul,bikul
tikus,bikul,bikul,bikul
timur,kangin,kangin,wetan
tinggal_bertempattinggal,ngoyong_nongosmadunung,magenah,malinggih
tinggal_diam,enungoyong,karijenektetep,kantun_jenek
tinggi,ganggastegeh,duurlonjor,duwurlonjor
tinggi,tegeh,duur,duur_duhur
tingkatan,undag,undang,pangked
tirai_tabir_korden,langse,sanur,NULL
tiruan_tiru,tulad_nulad,tulad,nilad_tulad
toko_warung_kedai_kios,toko,warung,toko
tolong_bantu,tulungin_uopin,tulungin,tulungin
topi,capil_topong,kekereb,kekerebketu
tua,odahwajah,lingsir,lingsir
tubuh,awak,dewek_raga,raga_angga
TuhanAllah,IdaSanghangWidiWasabatara,IdaSanghiangWidiWasa,IdaSanghiangperamakawi
tukangjahit_penjahit,tukangjahit,tukangjahit,tukangjahit
tukar,siruin,gentosin,gentosin
tulang,tulang,galih,galih
tuli_pekak_budeg_budek,bongol,bongol,nentenmireng
tumbuhan_tanaman,entik_entikan_pemulan,tatanduran,tetanduran
tumit,ganyot,ganyot,ganyot
tumpul,puntulgedul,puntul,puntul
tupai_bajingan,semal,semal,semal
turun,tuun,tedun,tedun_turun
turut_perintah_mematuhi,anutin_ngikut_tuut_nututin,inutin_ngetu_nganutin,tinut_tutut_ngiring
tutup,ubetang_inebang,inebang,inebang
tutup,inebang,ubetang,ubetang
tutupan,tekep,tekep,tekep
uang,pipis_pis,jinah,jinah
ubah_menukar,silur_salin,urur,urur
uban,uban,uban,uban
udara_langit,langit,ambaralangit,akasalangit
ukir,ukir,ukir,ukir
ukuran_besarnya,gedene,agengipun,ageng
ukuran_pengukur,ukur_sepat_sikut,sikut,sukat
ular,lelipi,ula_naga,ula_naga
umpamanya,ande_sandenya,seumpamanya,umpama
untuk_bagi,buatteken,buatring,kangge_pabuat
untung,keagetan,keagetan,keagetan
untung_laba,aget_bati,bukti,bukti
urus,urus_kencanin,karyanin,karyanin
usia_umur,tuwuh,yusa,yusa
usus,usus_basang basang,basang basang,NULL
utamakan_pentingkan,buatang,saratang,buatang
utara,kaja,kaler,kidul
utara,kaja,kaler,lor
waktu,kala,tempo,kala
waktu_ketikaselama,dugas,duk,daweg
waktu malam,nuju peteng,nuju wengi,rikala wengi
walapun,yadiapin,yadiastu,yadiastu
warna,warna_goba,warna_rupa,warni
waspada_awas_hati hati,tangar,yatna,yatna
ya,ya_nggih_saja,inggih_patut,patut
yang,ane,sane,sane
Yang mana,Ane encen,Sane encen,Sane encen
Yang pertama,Ane paling malu,Sane pinih riin,Sane pinih riin_sane ping arep